episode,cumulative_reward,moves,score
1,-76,70,1
2,-106,37,0
3,-96,19,0
4,-108,15,0
5,-112,33,0
6,-109,10,0
7,-96,13,0
8,-113,52,0
9,-98,13,0
10,-107,62,0
11,-105,16,0
12,-84,30,1
13,-108,13,0
14,-108,15,0
15,-94,23,0
16,-108,11,0
17,-107,12,0
18,-81,37,1
19,-92,13,0
20,-106,69,0
21,-104,25,0
22,-106,31,0
23,-86,66,1
24,-85,27,1
25,-78,88,1
26,-68,47,2
27,-54,35,2
28,-31,48,4
29,119,149,11
30,-75,21,1
31,495,437,31
32,212,163,18
33,395,413,25
34,11,69,5
35,316,242,23
36,106,141,10
37,478,386,27
38,525,470,32
39,95,112,10
40,450,443,28
41,133,134,12
42,296,222,21
43,65,93,9
44,309,227,23
45,321,260,20
46,26,64,7
47,-89,5,1
48,88,115,10
49,120,140,13
50,338,276,23
