,episode,cumulative_reward,moves,score
0,1,-90,13,0
1,2,-112,19,0
2,3,-101,31,1
3,4,-110,15,0
4,5,-105,36,0
5,6,-84,14,1
6,7,-107,40,0
7,8,-90,30,1
8,9,-82,32,1
9,10,-116,25,0
10,11,-86,52,1
11,12,-84,10,1
12,13,-91,25,1
13,14,-100,63,0
14,15,-99,14,0
15,16,-105,10,0
16,17,-100,21,0
17,18,-105,20,0
18,19,-98,19,0
19,20,-109,70,0
20,21,-79,19,1
21,22,-82,32,1
22,23,-64,41,2
23,24,-78,24,1
24,25,-56,33,2
25,26,-12,64,5
26,27,7,75,5
27,28,443,360,26
28,29,137,130,12
29,30,358,242,25
30,31,172,157,14
31,32,197,156,16
32,33,-37,37,3
33,34,154,126,15
34,35,99,119,9
35,36,287,230,18
36,37,-82,10,1
37,38,149,126,14
38,39,299,211,21
39,40,122,119,12
40,41,92,96,11
41,42,60,89,8
42,43,33,73,7
43,44,-25,33,5
44,45,13,71,5
45,46,166,152,13
46,47,108,119,10
47,48,-48,19,4
48,49,-74,18,1
49,50,-31,36,4
