e,reward,score,move
1.0,-103.0,0.0,4.0
1.0,-100.0,0.0,5.0
1.0,-103.0,0.0,4.0
1.0,-104.0,0.0,5.0
1.0,-100.0,0.0,1.0
1.0,-106.0,0.0,9.0
1.0,-100.0,0.0,1.0
1.0,-104.0,0.0,7.0
1.0,-101.0,0.0,2.0
1.0,-99.0,0.0,2.0
1.0,-104.0,0.0,11.0
1.0,-99.0,0.0,2.0
1.0,-102.0,0.0,7.0
1.0,-98.0,0.0,3.0
1.0,-102.0,0.0,5.0
1.0,-100.0,0.0,1.0
1.0,-100.0,0.0,1.0
1.0,-106.0,0.0,7.0
1.0,-106.0,0.0,7.0
1.0,-103.0,0.0,4.0
1.0,-98.0,0.0,3.0
1.0,-105.0,0.0,20.0
1.0,-100.0,0.0,1.0
1.0,-96.0,0.0,19.0
1.0,-98.0,0.0,23.0
1.0,-99.0,0.0,26.0
1.0,-96.0,0.0,13.0
1.0,-102.0,0.0,13.0
1.0,-113.0,0.0,20.0
1.0,-103.0,0.0,18.0
1.0,-96.0,0.0,25.0
1.0,-102.0,0.0,5.0
1.0,-100.0,0.0,3.0
1.0,-99.0,0.0,6.0
1.0,-100.0,0.0,1.0
1.0,-100.0,0.0,1.0
1.0,-101.0,0.0,2.0
1.0,-105.0,0.0,16.0
1.0,-97.0,0.0,4.0
1.0,-105.0,0.0,18.0
1.0,-99.0,0.0,6.0
1.0,-97.0,0.0,12.0
1.0,-96.0,0.0,9.0
1.0,-100.0,0.0,1.0
1.0,-99.0,0.0,2.0
1.0,-101.0,0.0,2.0
1.0,-102.0,0.0,11.0
1.0,-101.0,0.0,2.0
1.0,-101.0,0.0,6.0
1.0,-103.0,0.0,16.0
1.0,-104.0,0.0,13.0
1.0,-97.0,0.0,8.0
1.0,-97.0,0.0,4.0
1.0,-100.0,0.0,1.0
1.0,-104.0,0.0,9.0
1.0,-106.0,0.0,7.0
1.0,-106.0,0.0,9.0
1.0,-97.0,0.0,6.0
1.0,-99.0,0.0,14.0
1.0,-107.0,0.0,14.0
1.0,-97.0,0.0,12.0
1.0,-93.0,0.0,8.0
1.0,-108.0,0.0,9.0
1.0,-98.0,0.0,3.0
1.0,-99.0,0.0,6.0
2.0,-104.0,0.0,11.0
3.0,-100.0,0.0,1.0
4.0,-104.0,0.0,9.0
5.0,-110.0,0.0,39.0
6.0,-102.0,0.0,7.0
7.0,-99.0,0.0,24.0
8.0,-100.0,0.0,1.0
9.0,-100.0,0.0,1.0
10.0,-109.0,0.0,10.0
11.0,-103.0,0.0,8.0
12.0,-96.0,0.0,9.0
13.0,-93.0,0.0,10.0
14.0,-97.0,0.0,10.0
15.0,-100.0,0.0,1.0
16.0,-97.0,0.0,56.0
17.0,-107.0,0.0,20.0
18.0,-103.0,0.0,8.0
19.0,-99.0,0.0,18.0
20.0,-74.0,1.0,18.0
21.0,-97.0,0.0,16.0
22.0,-89.0,0.0,16.0
23.0,-97.0,0.0,6.0
24.0,-76.0,1.0,58.0
25.0,-16.0,3.0,94.0
26.0,-8.0,4.0,99.0
27.0,4.0,4.0,121.0
28.0,35.0,4.0,106.0
29.0,250.0,17.0,352.0
30.0,-56.0,2.0,635.0
31.0,-76.0,1.0,612.0
32.0,-61.0,2.0,28.0
33.0,-51.0,2.0,444.0
34.0,237.0,15.0,431.0
35.0,379.0,20.0,412.0
36.0,-8.0,4.0,91.0
37.0,-76.0,1.0,306.0
