,episode,cumulative_reward,moves,score
0,1,-76,70,1
1,2,-106,37,0
2,3,-96,19,0
3,4,-108,15,0
4,5,-112,33,0
5,6,-109,10,0
6,7,-96,13,0
7,8,-113,52,0
8,9,-98,13,0
9,10,-107,62,0
10,11,-105,16,0
11,12,-84,30,1
12,13,-108,13,0
13,14,-108,15,0
14,15,-94,23,0
15,16,-108,11,0
16,17,-107,12,0
17,18,-81,37,1
18,19,-92,13,0
19,20,-106,69,0
20,21,-104,25,0
21,22,-106,31,0
22,23,-86,66,1
23,24,-85,27,1
24,25,-78,88,1
25,26,-68,47,2
26,27,-54,35,2
27,28,-31,48,4
28,29,119,149,11
29,30,-75,21,1
30,31,495,437,31
31,32,212,163,18
32,33,395,413,25
33,34,11,69,5
34,35,316,242,23
